% Usage, time(24h)
 4.0,2022-06-07 11:32:58.858988
 4.0,2022-06-07 11:32:59.358987
 6.0,2022-06-07 11:32:59.858933
 6.0,2022-06-07 11:33:00.359043
 4.0,2022-06-07 11:33:00.859345
 4.0,2022-06-07 11:33:01.358863
 6.0,2022-06-07 11:33:01.858892
 4.0,2022-06-07 11:33:02.359353
 6.0,2022-06-07 11:33:02.859051
 4.0,2022-06-07 11:33:03.359299
 4.0,2022-06-07 11:33:03.858961
 6.0,2022-06-07 11:33:04.359046
 4.0,2022-06-07 11:33:04.858678
 6.0,2022-06-07 11:33:05.359181
 4.0,2022-06-07 11:33:05.858979
 4.0,2022-06-07 11:33:06.358862
 6.0,2022-06-07 11:33:06.858845
 4.0,2022-06-07 11:33:07.358966
 6.0,2022-06-07 11:33:07.859127
 4.0,2022-06-07 11:33:08.359105
 6.0,2022-06-07 11:33:08.859648
 4.0,2022-06-07 11:33:09.358930
 4.0,2022-06-07 11:33:09.858941
 6.0,2022-06-07 11:33:10.358940
 6.0,2022-06-07 11:33:10.858931
 4.0,2022-06-07 11:33:11.359116
 6.0,2022-06-07 11:33:11.859176
 4.0,2022-06-07 11:33:12.359827
 4.0,2022-06-07 11:33:12.859173
 6.0,2022-06-07 11:33:13.359105
 6.0,2022-06-07 11:33:13.859127
 4.0,2022-06-07 11:33:14.359200
 6.0,2022-06-07 11:33:14.859284
 4.0,2022-06-07 11:33:15.359164
 4.0,2022-06-07 11:33:15.860459
 6.0,2022-06-07 11:33:16.359131
 4.0,2022-06-07 11:33:16.859061
 6.0,2022-06-07 11:33:17.359347
 6.0,2022-06-07 11:33:17.859160
 6.0,2022-06-07 11:33:18.359043
 2.0,2022-06-07 11:33:18.858852
 6.0,2022-06-07 11:33:19.359926
 4.0,2022-06-07 11:33:19.859099
 6.0,2022-06-07 11:33:20.359141
 6.0,2022-06-07 11:33:20.859211
 4.0,2022-06-07 11:33:21.358856
 4.0,2022-06-07 11:33:21.859041
 6.0,2022-06-07 11:33:22.359090
 4.0,2022-06-07 11:33:22.859095
 6.0,2022-06-07 11:33:23.359044
 4.0,2022-06-07 11:33:23.858941
 4.0,2022-06-07 11:33:24.358954
 6.0,2022-06-07 11:33:24.858932
 6.0,2022-06-07 11:33:25.358878
 6.0,2022-06-07 11:33:25.859308
 4.0,2022-06-07 11:33:26.359460
 6.0,2022-06-07 11:33:26.859162
 4.0,2022-06-07 11:33:27.359199
 6.0,2022-06-07 11:33:27.859002
 4.0,2022-06-07 11:33:28.359269
 6.0,2022-06-07 11:33:28.858958
 4.0,2022-06-07 11:33:29.359210
 4.0,2022-06-07 11:33:29.859123
 6.0,2022-06-07 11:33:30.359008
 4.0,2022-06-07 11:33:30.859040
 4.0,2022-06-07 11:33:31.359106
 6.0,2022-06-07 11:33:31.859257
 4.0,2022-06-07 11:33:32.358981
 4.0,2022-06-07 11:33:32.859015
 6.0,2022-06-07 11:33:33.358973
 6.0,2022-06-07 11:33:33.858869
 4.0,2022-06-07 11:33:34.359041
 4.0,2022-06-07 11:33:34.858949
 6.0,2022-06-07 11:33:35.359251
 4.0,2022-06-07 11:33:35.859129
 6.0,2022-06-07 11:33:36.359019
 4.0,2022-06-07 11:33:36.858854
 4.0,2022-06-07 11:33:37.360406
 6.0,2022-06-07 11:33:37.859079
 6.0,2022-06-07 11:33:38.359429
 4.0,2022-06-07 11:33:38.860092
 4.0,2022-06-07 11:33:39.359115
 6.0,2022-06-07 11:33:39.858816
 6.0,2022-06-07 11:33:40.358879
 4.0,2022-06-07 11:33:40.858905
 4.0,2022-06-07 11:33:41.359088
 6.0,2022-06-07 11:33:41.858960
 4.0,2022-06-07 11:33:42.359191
 4.0,2022-06-07 11:33:42.859019
 6.0,2022-06-07 11:33:43.358875
 4.0,2022-06-07 11:33:43.858971
 6.0,2022-06-07 11:33:44.358982
 4.0,2022-06-07 11:33:44.859177
 4.0,2022-06-07 11:33:45.359118
 6.0,2022-06-07 11:33:45.858898
 4.0,2022-06-07 11:33:46.359489
 6.0,2022-06-07 11:33:46.859145
 4.0,2022-06-07 11:33:47.359212
 6.0,2022-06-07 11:33:47.858776
 6.0,2022-06-07 11:33:48.358891
 4.0,2022-06-07 11:33:48.859347
 6.0,2022-06-07 11:33:49.358786
 6.0,2022-06-07 11:33:49.858857
 4.0,2022-06-07 11:33:50.359121
 4.0,2022-06-07 11:33:50.859071
 4.0,2022-06-07 11:33:51.359641
 6.0,2022-06-07 11:33:51.859057
 4.0,2022-06-07 11:33:52.359423
 4.0,2022-06-07 11:33:52.858728
 4.0,2022-06-07 11:33:53.359242
 8.0,2022-06-07 11:33:53.859083
 2.0,2022-06-07 11:33:54.359362
 6.0,2022-06-07 11:33:54.858874
 4.0,2022-06-07 11:33:55.359076
 4.0,2022-06-07 11:33:55.858865
 4.0,2022-06-07 11:33:56.359134
 4.0,2022-06-07 11:33:56.858905
 4.0,2022-06-07 11:33:57.359079
 4.0,2022-06-07 11:33:57.858900
 4.0,2022-06-07 11:33:58.358912
 6.0,2022-06-07 11:33:58.858986
 4.0,2022-06-07 11:33:59.359257
 2.0,2022-06-07 11:33:59.858895
 4.0,2022-06-07 11:34:00.359156
 6.0,2022-06-07 11:34:00.860155
 4.0,2022-06-07 11:34:01.359431
 4.0,2022-06-07 11:34:01.859161
 4.0,2022-06-07 11:34:02.359685
 4.0,2022-06-07 11:34:02.858898
 4.0,2022-06-07 11:34:03.359043
 2.0,2022-06-07 11:34:03.858851
 6.0,2022-06-07 11:34:04.359000
 4.0,2022-06-07 11:34:04.858952
