% Usage, time(24h)
 26.0,2022-06-07 11:06:47.358555
 28.0,2022-06-07 11:06:47.858527
 20.0,2022-06-07 11:06:48.358562
 24.0,2022-06-07 11:06:48.858640
 26.0,2022-06-07 11:06:49.358526
 18.0,2022-06-07 11:06:49.858151
 24.0,2022-06-07 11:06:50.358497
 26.0,2022-06-07 11:06:50.858491
 24.0,2022-06-07 11:06:51.358549
 20.0,2022-06-07 11:06:51.858497
 24.0,2022-06-07 11:06:52.358393
 22.0,2022-06-07 11:06:52.858622
 22.0,2022-06-07 11:06:53.358577
 22.0,2022-06-07 11:06:53.858530
 26.0,2022-06-07 11:06:54.358448
 22.0,2022-06-07 11:06:54.858537
 24.0,2022-06-07 11:06:55.358582
 28.0,2022-06-07 11:06:55.858525
 22.0,2022-06-07 11:06:56.358582
 24.0,2022-06-07 11:06:56.858596
 26.0,2022-06-07 11:06:57.358100
 12.0,2022-06-07 11:06:57.858119
 14.0,2022-06-07 11:06:58.358207
 16.0,2022-06-07 11:06:58.858184
 14.0,2022-06-07 11:06:59.358129
 18.0,2022-06-07 11:06:59.858145
 14.0,2022-06-07 11:07:00.358185
 16.0,2022-06-07 11:07:00.858153
 16.0,2022-06-07 11:07:01.358141
 18.0,2022-06-07 11:07:01.858540
 24.0,2022-06-07 11:07:02.358502
 24.0,2022-06-07 11:07:02.858491
 22.0,2022-06-07 11:07:03.358848
 26.0,2022-06-07 11:07:03.858543
 24.0,2022-06-07 11:07:04.358469
 26.0,2022-06-07 11:07:04.858449
 22.0,2022-06-07 11:07:05.358512
 28.0,2022-06-07 11:07:05.858467
 26.0,2022-06-07 11:07:06.358515
 16.0,2022-06-07 11:07:06.858292
 22.0,2022-06-07 11:07:07.358450
 26.0,2022-06-07 11:07:07.858143
 26.0,2022-06-07 11:07:08.358126
 20.0,2022-06-07 11:07:08.858605
 26.0,2022-06-07 11:07:09.358440
 26.0,2022-06-07 11:07:09.858497
 24.0,2022-06-07 11:07:10.358571
 20.0,2022-06-07 11:07:10.858746
 20.0,2022-06-07 11:07:11.358535
 22.0,2022-06-07 11:07:11.858533
 22.0,2022-06-07 11:07:12.358696
 22.0,2022-06-07 11:07:12.858569
 20.0,2022-06-07 11:07:13.358174
 20.0,2022-06-07 11:07:13.858417
 22.0,2022-06-07 11:07:14.358447
 26.0,2022-06-07 11:07:14.858481
 18.0,2022-06-07 11:07:15.358589
 24.0,2022-06-07 11:07:15.858539
 20.0,2022-06-07 11:07:16.358478
 26.0,2022-06-07 11:07:16.858544
 22.0,2022-06-07 11:07:17.358518
 24.0,2022-06-07 11:07:17.858096
 14.0,2022-06-07 11:07:18.358349
 24.0,2022-06-07 11:07:18.858511
 24.0,2022-06-07 11:07:19.358887
 26.0,2022-06-07 11:07:19.858525
 26.0,2022-06-07 11:07:20.358482
 24.0,2022-06-07 11:07:20.858581
 26.0,2022-06-07 11:07:21.358582
 18.0,2022-06-07 11:07:21.858391
 24.0,2022-06-07 11:07:22.358470
 26.0,2022-06-07 11:07:22.858531
 20.0,2022-06-07 11:07:23.358850
 18.0,2022-06-07 11:07:23.858511
 14.0,2022-06-07 11:07:24.358326
 14.0,2022-06-07 11:07:24.858549
 16.0,2022-06-07 11:07:25.358393
 12.0,2022-06-07 11:07:25.858881
 24.0,2022-06-07 11:07:26.358953
 24.0,2022-06-07 11:07:26.858517
 12.0,2022-06-07 11:07:27.358578
 22.0,2022-06-07 11:07:27.858539
 20.0,2022-06-07 11:07:28.358539
 24.0,2022-06-07 11:07:28.858625
 24.0,2022-06-07 11:07:29.358541
 16.0,2022-06-07 11:07:29.858483
 18.0,2022-06-07 11:07:30.358393
 22.0,2022-06-07 11:07:30.858551
 22.0,2022-06-07 11:07:31.358675
 20.0,2022-06-07 11:07:31.858460
 26.0,2022-06-07 11:07:32.358534
 20.0,2022-06-07 11:07:32.858558
 26.0,2022-06-07 11:07:33.358500
 26.0,2022-06-07 11:07:33.858507
 24.0,2022-06-07 11:07:34.358582
 28.0,2022-06-07 11:07:34.858470
 16.0,2022-06-07 11:07:35.358536
 22.0,2022-06-07 11:07:35.858612
 26.0,2022-06-07 11:07:36.358503
 26.0,2022-06-07 11:07:36.858411
 24.0,2022-06-07 11:07:37.358458
 26.0,2022-06-07 11:07:37.858390
 20.0,2022-06-07 11:07:38.358167
 26.0,2022-06-07 11:07:38.858861
 28.0,2022-06-07 11:07:39.358498
 26.0,2022-06-07 11:07:39.858521
 28.0,2022-06-07 11:07:40.358477
 28.0,2022-06-07 11:07:40.858581
 24.0,2022-06-07 11:07:41.358548
 24.0,2022-06-07 11:07:41.858606
 24.0,2022-06-07 11:07:42.358522
 24.0,2022-06-07 11:07:42.858509
 24.0,2022-06-07 11:07:43.358545
 18.0,2022-06-07 11:07:43.858406
 26.0,2022-06-07 11:07:44.358538
 22.0,2022-06-07 11:07:44.858152
 20.0,2022-06-07 11:07:45.358559
 24.0,2022-06-07 11:07:45.858505
 26.0,2022-06-07 11:07:46.358524
 24.0,2022-06-07 11:07:46.858482
 20.0,2022-06-07 11:07:47.358574
 24.0,2022-06-07 11:07:47.858545
 20.0,2022-06-07 11:07:48.358339
 26.0,2022-06-07 11:07:48.858532
 18.0,2022-06-07 11:07:49.358854
 8.0,2022-06-07 11:07:49.858149
 10.0,2022-06-07 11:07:50.358182
 20.0,2022-06-07 11:07:50.858193
 16.0,2022-06-07 11:07:51.358588
 22.0,2022-06-07 11:07:51.858554
 24.0,2022-06-07 11:07:52.358540
 24.0,2022-06-07 11:07:52.858525
 22.0,2022-06-07 11:07:53.358581
 20.0,2022-06-07 11:07:53.858511
 24.0,2022-06-07 11:07:54.358548
 22.0,2022-06-07 11:07:54.858481
 28.0,2022-06-07 11:07:55.358848
 22.0,2022-06-07 11:07:55.858427
 24.0,2022-06-07 11:07:56.358418
 24.0,2022-06-07 11:07:56.858613
 24.0,2022-06-07 11:07:57.358826
 24.0,2022-06-07 11:07:57.858509
 20.0,2022-06-07 11:07:58.358472
